id,feedback
1,"Login keeps failing after the latest update."
2,"I cannot access my account using Google sign in."
3,"Authentication takes too long."
4,"Password reset email never arrives."
5,"App logs me out unexpectedly."
6,"Dark mode would make the app easier to use."
7,"Checkout page freezes before payment."
8,"Delivery arrived two days late."
9,"Notifications never appear."
10,"App becomes slow after opening."
11,"Would love multi-language support."
12,"Payment failed three times."
13,"Login screen keeps loading."
14,"Amazing experience overall."
15,"Excellent customer support."
16,"Please add fingerprint login."
17,"Push notifications stopped working."
18,"Checkout process is confusing."
19,"App crashes frequently."
20,"Delivery tracking is inaccurate."
